name,year,team,age,position,games_played,games_started,rush_attempts,rush_yards,rush_td,longest_run,yards_per_rush,yards_per_game,attempts_per_game,targets,receptions,rec_yards,yards_per_rec,rec_td,longest_rec,rec_per_game,rec_yards_per_game,catch_percentage,scrimmage_yards,rush_rec_td,fumbles,fumbles_lost,two_pt_conversions,return_yards,return_td,fantasy_points
Alfred Morris,2013,WAS,25,RB,16,16,276,1275,7,45,4.6,79.7,17.3,12.0,9.0,78.0,8.7,0.0,17.0,0.6,4.9,75.0,1353,7,5,4.0,0.0,0.0,0.0,169.3
Alfred Morris,2014,WAS,26,RB,16,16,265,1074,8,30,4.1,67.1,16.6,26.0,17.0,155.0,9.1,0.0,26.0,1.1,9.7,65.4,1229,8,2,0.0,0.0,0.0,0.0,170.9
Alfred Morris,2015,WAS,27,RB,16,16,202,751,1,48,3.7,46.9,12.6,13.0,10.0,55.0,5.5,0.0,12.0,0.6,3.4,76.9,806,1,0,0.0,0.0,0.0,0.0,86.60000000000001
Alfred Morris,2016,DAL,28,RB,14,0,69,243,2,17,3.5,17.4,4.9,6.0,3.0,11.0,3.7,0.0,6.0,0.2,0.8,50.0,254,2,0,0.0,0.0,12.0,0.0,37.879999999999995
Alfred Morris,2017,DAL,29,RB,14,5,115,547,1,70,4.8,39.1,8.2,9.0,7.0,45.0,6.4,0.0,13.0,0.5,3.2,77.8,592,1,0,0.0,0.0,0.0,0.0,65.2
Chris Ivory,2013,NYJ,25,RB,15,6,182,833,3,69,4.6,55.5,12.1,7.0,2.0,10.0,5.0,0.0,12.0,0.1,0.7,28.6,843,3,2,0.0,0.0,0.0,0.0,102.30000000000001
Chris Ivory,2014,NYJ,26,RB,16,10,198,821,6,71,4.1,51.3,12.4,27.0,18.0,123.0,6.8,1.0,23.0,1.1,7.7,66.7,944,7,2,1.0,0.0,0.0,0.0,134.4
Chris Ivory,2015,NYJ,27,RB,15,14,247,1070,7,58,4.3,71.3,16.5,37.0,30.0,217.0,7.2,1.0,36.0,2.0,14.5,81.1,1287,8,4,2.0,0.0,0.0,0.0,172.7
Chris Ivory,2016,JAX,28,RB,11,1,117,439,3,42,3.8,39.9,10.6,28.0,20.0,186.0,9.3,0.0,37.0,1.8,16.9,71.4,625,3,5,3.0,0.0,0.0,0.0,74.5
Chris Ivory,2017,JAX,29,RB,14,3,112,382,1,34,3.4,27.3,8.0,28.0,21.0,175.0,8.3,1.0,29.0,1.5,12.5,75.0,557,2,2,2.0,0.0,0.0,0.0,63.7
DeMarco Murray,2013,DAL,25,RB,14,14,217,1121,9,43,5.2,80.1,15.5,66.0,53.0,350.0,6.6,1.0,22.0,3.8,25.0,80.3,1471,10,3,1.0,0.0,0.0,0.0,205.10000000000002
DeMarco Murray,2014,DAL,26,RB,16,16,392,1845,13,51,4.7,115.3,24.5,64.0,57.0,416.0,7.3,0.0,34.0,3.6,26.0,89.1,2261,13,6,5.0,0.0,0.0,0.0,294.1
DeMarco Murray,2015,PHI,27,RB,15,8,193,702,6,54,3.6,46.8,12.9,55.0,44.0,322.0,7.3,1.0,44.0,2.9,21.5,80.0,1024,7,2,2.0,0.0,0.0,0.0,140.4
DeMarco Murray,2016,TEN,28,RB,16,16,293,1287,9,75,4.4,80.4,18.3,67.0,53.0,377.0,7.1,3.0,35.0,3.3,23.6,79.1,1664,12,3,1.0,0.0,0.0,0.0,236.40000000000003
DeMarco Murray,2017,TEN,29,RB,15,15,184,659,6,75,3.6,43.9,12.3,47.0,39.0,266.0,6.8,1.0,18.0,2.6,17.7,83.0,925,7,1,1.0,0.0,0.0,0.0,132.5
Doug Martin,2013,TAM,24,RB,6,6,127,456,1,28,3.6,76.0,21.2,24.0,12.0,66.0,5.5,0.0,13.0,2.0,11.0,50.0,522,1,2,1.0,0.0,40.0,0.0,57.800000000000004
Doug Martin,2014,TAM,25,RB,11,11,134,494,2,63,3.7,44.9,12.2,20.0,13.0,64.0,4.9,0.0,20.0,1.2,5.8,65.0,558,2,0,0.0,0.0,0.0,0.0,67.80000000000001
Doug Martin,2015,TAM,26,RB,16,16,288,1402,6,84,4.9,87.6,18.0,44.0,33.0,271.0,8.2,1.0,25.0,2.1,16.9,75.0,1673,7,5,5.0,0.0,0.0,0.0,199.3
Doug Martin,2016,TAM,27,RB,8,8,144,421,3,17,2.9,52.6,18.0,16.0,14.0,134.0,9.6,0.0,27.0,1.8,16.8,87.5,555,3,1,1.0,0.0,0.0,0.0,71.5
Doug Martin,2017,TAM,28,RB,11,8,138,406,3,27,2.9,36.9,12.5,18.0,9.0,84.0,9.3,0.0,17.0,0.8,7.6,50.0,490,3,1,1.0,1.0,0.0,0.0,67.0
Eddie Lacy,2013,GNB,23,RB,15,15,284,1178,11,60,4.1,78.5,18.9,44.0,35.0,257.0,7.3,0.0,34.0,2.3,17.1,79.5,1435,11,1,1.0,0.0,0.0,0.0,207.5
Eddie Lacy,2014,GNB,24,RB,16,16,246,1139,9,44,4.6,71.2,15.4,55.0,42.0,427.0,10.2,4.0,67.0,2.6,26.7,76.4,1566,13,3,2.0,0.0,0.0,0.0,230.60000000000002
Eddie Lacy,2015,GNB,25,RB,15,12,187,758,3,29,4.1,50.5,12.5,28.0,20.0,188.0,9.4,2.0,28.0,1.3,12.5,71.4,946,5,4,2.0,0.0,0.0,0.0,120.6
Eddie Lacy,2016,GNB,26,RB,5,5,71,360,0,31,5.1,72.0,14.2,7.0,4.0,28.0,7.0,0.0,17.0,0.8,5.6,57.1,388,0,0,0.0,0.0,0.0,0.0,38.8
Eddie Lacy,2017,SEA,27,RB,9,3,69,179,0,19,2.6,19.9,7.7,6.0,6.0,47.0,7.8,0.0,14.0,0.7,5.2,100.0,226,0,0,0.0,0.0,0.0,0.0,22.6
Frank Gore,2013,SFO,30,RB,16,16,276,1128,9,51,4.1,70.5,17.3,27.0,16.0,141.0,8.8,0.0,29.0,1.0,8.8,59.3,1269,9,3,3.0,0.0,0.0,0.0,174.9
Frank Gore,2014,SFO,31,RB,16,16,255,1106,4,52,4.3,69.1,15.9,19.0,11.0,111.0,10.1,1.0,55.0,0.7,6.9,57.9,1217,5,2,2.0,0.0,0.0,0.0,147.70000000000002
Frank Gore,2015,IND,32,RB,16,16,260,967,6,37,3.7,60.4,16.3,58.0,34.0,267.0,7.9,1.0,34.0,2.1,16.7,58.6,1234,7,4,3.0,0.0,0.0,0.0,159.39999999999998
Frank Gore,2016,IND,33,RB,16,16,263,1025,4,22,3.9,64.1,16.4,47.0,38.0,277.0,7.3,4.0,49.0,2.4,17.3,80.9,1302,8,2,1.0,0.0,0.0,0.0,176.2
Frank Gore,2017,IND,34,RB,16,16,261,961,3,21,3.7,60.1,16.3,38.0,29.0,245.0,8.4,1.0,26.0,1.8,15.3,76.3,1206,4,3,0.0,0.0,0.0,0.0,144.60000000000002
Giovani Bernard,2013,CIN,22,RB,16,0,170,695,5,35,4.1,43.4,10.6,71.0,56.0,514.0,9.2,3.0,41.0,3.5,32.1,78.9,1209,8,2,1.0,0.0,0.0,0.0,166.9
