,name,fantasy_points
0,Le'Veon Bell,256.60
1,Todd Gurley II,319.30
2,Antonio Brown,211.74
3,David Johnson,7.00
4,Ezekiel Elliott,177.20
5,DeAndre Hopkins,213.80
6,Alvin Kamara,253.28
7,Odell Beckham Jr.,49.80
8,Julio Jones,163.90
9,Kareem Hunt,242.20
10,Saquon Barkley,0.00
11,Michael Thomas,154.50
12,Keenan Allen,182.20
13,Davante Adams,148.50
14,Melvin Gordon,230.10
15,A.J. Green,151.80
16,Dalvin Cook,54.40
17,Doug Baldwin,148.30
18,Mike Evans,132.10
19,Leonard Fournette,194.20
20,Rob Gronkowski,158.40
21,Devonta Freeman,164.20
22,Travis Kelce,151.50
23,LeSean McCoy,204.60
24,Adam Thielen,148.70
25,Tyreek Hill,179.36
26,Jerick McKinnon,139.58
27,Zach Ertz,128.40
28,Stefon Diggs,134.20
29,Christian McCaffrey,157.40
30,Jordan Howard,176.70
31,Alshon Jeffery,138.90
32,Kenyan Drake,116.18
33,Josh Gordon,39.50
34,Aaron Rodgers,135.60
35,Larry Fitzgerald,152.44
36,Demaryius Thomas,122.90
37,Amari Cooper,110.40
38,Golden Tate,133.42
39,T.Y. Hilton,118.60
40,Joe Mixon,111.30
41,JuJu Smith-Schuster,149.30
42,Russell Wilson,358.92
43,Tom Brady,303.88
44,Derrius Guice,0.00
45,Allen Robinson II,1.70
46,Alex Collins,150.00
47,Deshaun Watson,176.86
48,Jarvis Landry,151.04
49,Jay Ajayi,111.10
50,Rashaad Penny,0.00
51,Brandin Cooks,156.20
52,Evan Engram,109.60
53,Derrick Henry,124.00
54,Mark Ingram,220.00
55,Robert Woods,107.30
56,Marvin Jones Jr.,164.10
57,Dion Lewis,193.80
58,Lamar Miller,157.50
59,Drew Brees,270.56
60,Greg Olsen,25.10
61,Ronald Jones II,0.00
62,Michael Crabtree,113.80
63,Cam Newton,315.48
64,Sony Michel,0.00
65,Jimmy Graham,114.00
66,Tevin Coleman,140.70
67,Jimmy Garoppolo,91.90
68,Corey Davis,35.50
69,Rex Burkhead,100.48
70,Pierre Garcon,50.00
71,Carson Wentz,288.74
72,Jamison Crowder,101.14
73,Devin Funchess,132.00
74,Chris Hogan,75.60
75,Kirk Cousins,290.62
76,Aaron Jones,71.00
77,Marlon Mack,85.06
78,Will Fuller V,90.60
79,Matthew Stafford,283.64
80,Cooper Kupp,114.90
81,Chris Thompson,121.00
82,Kyle Rudolph,101.20
83,Royce Freeman,0.00
