name,year,team,position,rush_attempts,rush_yards,yards_per_rush,rush_td,targets,receptions,rec_yards,rec_td,pass_attempts,pass_completions,completion_pct,pass_yards,pass_td,interceptions,sacked,return_yards,return_td,two_pt_conversions,fumbles_lost,pat_made,pat_att,0-19_made,0-19_att,20-29_made,20-29_att,30-39_made,30-39_att,40-49_made,40-49_att,50_plus_made,50_plus_att,fantasy_points
Alfred Morris,2013,WAS,RB,276.0,1275,4.62,7.0,12.0,9.0,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.3
Alfred Morris,2014,WAS,RB,265.0,1074,4.05,8.0,26.0,17.0,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.9
Alfred Morris,2015,WAS,RB,202.0,751,3.72,1.0,13.0,10.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.6
Alfred Morris,2016,DAL,RB,69.0,243,3.52,2.0,6.0,3.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.879999999999995
Alfred Morris,2017,DAL,RB,115.0,547,4.76,1.0,9.0,7.0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2
Chris Ivory,2013,NYJ,RB,182.0,833,4.58,3.0,7.0,2.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.3
Chris Ivory,2014,NYJ,RB,198.0,821,4.15,6.0,27.0,18.0,123,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.4
Chris Ivory,2015,NYJ,RB,247.0,1070,4.33,7.0,37.0,30.0,217,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.7
Chris Ivory,2016,JAX,RB,117.0,439,3.75,3.0,28.0,20.0,186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.5
Chris Ivory,2017,JAX,RB,112.0,382,3.41,1.0,28.0,21.0,175,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7
DeMarco Murray,2013,DAL,RB,217.0,1121,5.17,9.0,66.0,53.0,350,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.1
DeMarco Murray,2014,DAL,RB,392.0,1845,4.71,13.0,64.0,57.0,416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.1
